Designator,Footprint,Quantity,Value,LCSC Part #
"_24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7",,18,,
BT1,SolderWire-0.25sqmm_1x02_P4.2mm_D0.65mm_OD1.7mm,1,Battery_Cell,
"C1, C2, C3",0805,3,1u,
"C4, C5",0805,2,10u,
C6,0603,1,100n,
D1,0603,1,CHG_LED,
D2,0603,1,D_Schottky,
D3,1206,1,LED1,
D4,1206,1,LED2,
D5,1206,1,LED3,
D6,1206,1,LED4,
J1,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB4135-GF-A_REVA,
J2,PinHeader_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,
M1,SolderWire-0.25sqmm_1x02_P4.2mm_D0.65mm_OD1.7mm,1,Motor_DC_ALT,
Q1,SOT-23,1,Q_NMOS_GSD,
"R1, R2, R3, R4, R5",0603,5,5.1k,
"R10, R11, R12, R6, R8, R9",0603,6,1k,
R7,0603,1,100k,
"TP1, TP2, TP3, TP4",SolderWirePad_1x01_SMD_1x2mm,4,TouchPad,
U1,SOT-23-6,1,BQ21040DBV,
U2,SOT-23-5,1,TPS7A0533PDBZR,
U3,TSSOP-16_4.4x5mm_P0.65mm,1,MSP430FR2110/MSP430FR2111,
