Designator,Mid X,Mid Y,Rotation,Layer
_24,56.05,-85.9,0.0,top
_23,13.2,-90.15,0.0,top
_22,56.05,-86.75,0.0,top
_21,13.2,-7.6,0.0,top
_20,13.2,-8.45,0.0,top
_19,13.2,-88.45,0.0,top
_18,13.2,-10.15,0.0,top
_17,13.2,-85.9,0.0,top
_16,56.05,-89.3,0.0,top
_15,56.05,-87.6,0.0,top
_14,13.2,-86.75,0.0,top
_13,13.2,-87.6,0.0,top
_12,56.05,-88.45,0.0,top
_11,13.2,-89.3,0.0,top
_10,13.2,-11.0,0.0,top
_9,13.2,-11.85,0.0,top
_8,13.2,-9.3,0.0,top
_7,56.05,-90.15,0.0,top
C1,28.17,-74.09,180.0,bottom
C2,34.83,-73.36,270.0,bottom
C3,37.7,-76.69,180.0,bottom
C4,43.08,-76.75,0.0,bottom
C5,41.74,-60.9,270.0,bottom
C6,43.09,-74.96,0.0,bottom
D1,31.52,-69.55,180.0,bottom
D2,39.72,-60.73,270.0,bottom
J1,27.75,-79.6025,0.0,bottom
Q1,44.63,-61.14,270.0,bottom
R1,20.35,-77.45,90.0,bottom
R10,27.62,-32.18,0.0,bottom
R11,24.16,-39.3,180.0,bottom
R12,30.7,-39.3,0.0,bottom
R2,35.12,-77.44,90.0,bottom
R3,30.78,-73.14,270.0,bottom
R4,24.75,-69.96,0.0,bottom
R5,24.75,-71.49,0.0,bottom
R6,31.49,-68.02,0.0,bottom
R7,44.54,-63.96,0.0,bottom
R8,44.54,-65.52,0.0,bottom
R9,27.62,-33.74,180.0,bottom
U1,28.16,-70.98,90.0,bottom
U2,37.6775,-73.58,90.0,bottom
U3,43.62,-70.2425,0.0,bottom
